,Max,Min,25%,75%
50,0.884321608040201,0.7944723618090452,0.8316582914572864,0.8704522613065326
100,0.8836363636363637,0.835050505050505,0.8370707070707071,0.8824242424242424
150,0.9039593908629442,0.8694416243654822,0.8869035532994923,0.8965482233502539
200,0.9021428571428571,0.883061224489796,0.8909183673469387,0.8966326530612245
250,0.8994871794871795,0.8862564102564102,0.8915897435897436,0.8991794871794871
300,0.900618556701031,0.8738144329896907,0.8898969072164948,0.8952577319587629
350,0.8986528497409326,0.8867357512953368,0.8883937823834197,0.8966839378238342
400,0.8975,0.8861458333333333,0.8877083333333333,0.893125
450,0.9006282722513089,0.8875392670157068,0.8893193717277487,0.8990575916230367
500,0.9013684210526316,0.893578947368421,0.8974736842105263,0.9012631578947369
550,0.9022222222222223,0.8933333333333333,0.8950264550264551,0.9
600,0.902127659574468,0.895,0.8979787234042553,0.9018085106382979
650,0.901283422459893,0.8959358288770054,0.8963636363636364,0.9010695187165776
700,0.904731182795699,0.8991397849462366,0.8991397849462366,0.9020430107526882
750,0.9051891891891892,0.898918918918919,0.8993513513513514,0.9033513513513514
800,0.9070652173913043,0.8972826086956521,0.9008695652173913,0.9032608695652173
850,0.906120218579235,0.8979234972677596,0.9008743169398907,0.9033879781420765
900,0.9057142857142857,0.8968131868131868,0.9034065934065935,0.9043956043956044
950,0.907292817679558,0.8967955801104972,0.901988950276243,0.9049723756906077
